City	Address	Floor Area	Lot Area	IMG	Price
Baguio	"Unit XIV-C, 2nd Floor Richgate Square II Condominium Camp 7 (with authority to sell)"		91.22	"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"4,500,000"
Bataan	"Lot 10, Block 10, Bagac-Mariveles Road, Brgy. Ibis, Bagac, Bataan"	2249		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"1,349,400"
Bataan	"Lot 756, along Brgy.ξ Road (road going to Alion), Brgy. Batangas II, Mariveles, Bataan"	20000		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"7,786,800"
Bataan	"Seacliff Subdivision, Brgy. Alas-Asin, Mariveles, Bataan"	"467 to 1,831"		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"560,400 to 1831000"
Bataan	"The Strand Subdivision, Brgy. Nagbalayong, Morong, Bataan"	567 to 1339		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"722,400 to 1960000"
Bataan	"Lot 42 Block 1, Via Ruzzini St., Venezia De Citta Italia, Ph.2,  Citta Italia Subdivision, Bacoor, Cavite"	120	62	"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"2,108,000"
Bataan	"Mulawin, Orani, Bataan (Pending possession / Under Consortium)"	39456	8020	"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"16,020,990"
Bataan	"No. 503, Taglesville Subdivision, Mun. of Pilar, Bataan"	693	249	"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"3,968,100"
Batangas	"Plantacion Meridienne, Lipa BatangasDeveloped from a former coffee and citrus plantation and features Floridian- inspired house models."	96 to 329 sqm			"3,100 to"
Batangas	"Along Provincial Road, Brgy. Sta. Teresita, Sto. Tomas, Batangas"	743261		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"371,630,500"
Batangas	"Lot 13, Blk. 4 of the cons. subd.Plan Pcs-04-005729 along Calamus St., Palm Ridge Subd.Brgy. Balas, Talisay (with authority to sell)"	417		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"1,251,000"
Batangas	"Lot 15, Blk. 4 of the cons. subd.Plan Pcs-04-005729 along Calamus St., Palm Ridge Subd.Brgy. Balas, Talisay (with authority to sell)"	493		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"1,479,000"
Batangas	"Lot 16 Block. 5, Rancho Vista Subdivision, Bo. Santiago, Sto. Tomas, Batangas City"	725		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"2,175,000"
